티커,BPS,PER,PBR,EPS,DIV,DPS,ticker,sector
357780,0,0.0,0.0,0,0.0,0,357780,2001/2002/2024/2065/2183/2203/2212
036830,45837,6.41,0.93,6665,1.99,850,036830,2001/2002/2024/2065/2181/2203/2212
304100,9100,123.9,3.39,249,0.0,0,304100,2001/2004/2015/2042/2155/2184
086980,2247,92.6,2.14,52,1.04,50,086980,2001/2003/2037/2181
050960,11277,60.0,2.29,430,0.29,75,050960,2001/2004/2024/2063/2182
084180,1235,0.0,1.68,0,0.0,0,084180,2001/2004/2024/2070
253840,1838,0.0,7.78,0,0.0,0,253840,2001/2003/2024/2074/2184
058530,541,0.0,0.3,0,0.0,0,058530,2001/2004/2027
236200,18961,7.22,1.39,3650,0.0,0,236200,2001/2004/2024/2072/2181
317770,12939,42.2,1.29,397,0.0,0,317770,2001/2004/2024/2072/2182
094840,13936,10.21,0.6,821,0.0,0,094840,2001/2004/2015/2042/2156/2182
192440,47368,9.67,1.37,6690,2.01,1300,192440,2001/2003/2015/2043/2160/2181/2203/2216
099440,3428,0.0,0.5,0,0.0,0,099440,2001/2004/2024/2070/2183
033790,1168,0.0,0.71,0,0.0,0,033790,2001/2004/2015/2043/2157
131100,516,0.0,3.4,0,0.0,0,131100,2001/2004/2027
159910,282,0.0,0.93,0,0.0,0,159910,2001/2004/2015/2043/2159
158310,2426,0.0,0.21,0,0.0,0,158310,2001/2004/2024/2070
115570,9954,0.0,0.5,0,1.6,80,115570,2001/2004/2024/2065/2183
253450,15242,99.9,6.17,941,0.0,0,253450,2001/2002/2037/2181/2203/2218
204630,1371,0.0,1.46,0,0.0,0,204630,2001/2004/2037/2183
013810,2614,15.24,3.68,632,0.0,0,013810,2001/2004/2024/2070/2183
039670,0,0.0,0.0,0,0.0,0,039670,2001/2004/2024/2063
049830,22914,0.0,0.4,0,0.0,0,049830,2001/2004/2024/2068/2181
020710,5404,7.01,1.02,786,1.45,80,020710,2001/2004/2012/2181
033170,1627,0.0,0.82,0,0.0,0,033170,2001/2004/2015/2043/2159/2183
048870,1153,56.2,2.63,54,0.0,0,048870,2001/2003/2024/2074/2183
025320,1142,42.47,3.31,89,0.0,0,025320,2001/2003/2015/2043/2160/2183
269620,732,52.16,2.64,37,2.07,40,269620,2001/2004/2024/2074/2182
131090,754,12.11,2.14,133,0.62,10,131090,2001/2004/2015/2042/2155/2182
139050,417,0.0,2.41,0,0.0,0,139050,2001/2004/2015/2042/2156/2183
290520,7056,7.71,2.47,2258,0.0,0,290520,2001/2004/2024/2070/2182
001000,595,312.8,4.73,9,0.0,0,001000,2001/2004/2027/2183
025870,3963,88.4,4.04,181,0.0,0,025870,2001/2004/2027/2183
215600,858,0.0,14.1,0,0.0,0,215600,2001/2002/2012
065350,5302,34.28,1.69,261,0.89,80,065350,2001/2003/2024/2072/2181
002800,3715,55.3,2.1,141,0.36,28,002800,2001/2004/2024/2066/2183
323280,0,0.0,0.0,0,0.0,0,323280,2001/2004/2031
344050,0,0.0,0.0,0,0.0,0,344050,2001/2004/2031
017000,8649,5.75,0.9,1351,0.0,0,017000,2001/2004/2026/2181
