ticker,EPS,PER,BPS,PBR,DPS,DIV
054050,436,28.1,14399,0.85,200,1.63
040160,761,9.83,5666,1.32,50,0.67
069140,0,0.0,4313,1.65,0,0.0
126870,0,0.0,2748,1.3,0,0.0
060260,66,20.9,826,1.67,0,0.0
012340,0,0.0,899,4.51,0,0.0
214870,0,0.0,2710,4.19,0,0.0
270870,1056,27.27,6336,4.55,150,0.52
144960,135,45.2,3269,1.87,0,0.0
085670,0,0.0,2301,0.85,0,0.0
119860,1822,18.22,8387,3.96,400,1.2
064260,434,20.73,3168,2.84,0,0.0
093640,53,62.44,1961,1.69,0,0.0
039560,51,187.6,5002,1.91,0,0.0
032190,1782,7.01,15886,0.79,180,1.44
068240,161,123.6,7825,2.54,100,0.5
020400,0,0.0,13552,0.68,60,0.65
008830,0,0.0,6383,0.57,25,0.69
048470,32,167.8,6111,0.88,30,0.56
